Source,Target
BSX,Michael Mahoney_51
BSX,Edward Ludwig_64
BSX,Donna James_58
BSX,Kristina Johnson_58
BSX,Stephen MacMillan_52
BMY,Lamberto Andreotti_65
BMY,Laurie Glimcher_64
BMY,Michael Grobstein_73
BMY,Dinesh Paliwal_58
BMY,Vicki Sato_67
AVGO,Kenneth Hao_47
AVGO,Eddy Hartenstein_65
BFb.N,Paul Varga_52
BFb.N,Michael Todman_58
CHRW,Scott Anderson_49
CHRW,Mary Steele Guilfoile_62
CA,Michael Gregoire_50
CA,Laura Unger_
COG,Dorothy Ables_58
CPB,Les Vinney_67
CPB,Denise Morrison_62
CPB,Marc Lautenbach_55
CPB,Tracey Travis_54
COF,Stephen Crawford_51
COF,Ann Hackett_62
COF,Patrick Gross_71
COF,Lewis Hay_60
COF,Mayo Shattuck_61
CAH,David Anderson_66
CAH,Colleen Arnold_58
CAH,Carrie Cox_58
CAH,Calvin Darden_66
CAH,Clayton Jones_66
CAH,David King_59
HSIC,Philip Laskawy_74
HSIC,Lawrence Bacow_64
HSIC,Bradley Sheares_59
KMX,Thomas Folliard_51
KMX,Alan Colberg_54
KMX,Jeffrey Garten_69
KMX,Shira Goodman_55
CCL,Arnold Donald_61
CCL,Alan Buckelew_67
CCL,Debra Kelly-Ennis_59
CCL,Randall Weisenburger_57
CAT,Bradley Halverson_56
CAT,Denise Johnson_49
CAT,David Bozeman_47
CAT,David Calhoun_58
CAT,Jon Huntsman_56
CAT,Dennis Muilenburg_52
CAT,William Osborn_68
CAT,Debra Reed_59
CAT,Edward Rust_65
CAT,Susan Schwab_61
CAT,Miles White_61
CBG,Robert Sulentic_59
CBG,Paula Reynolds_59
CBG,Laura Tyson_68
CBS,Shari Redstone_62
CBS,Sumner Redstone_92
CBS,Charles Gifford_73
CBS,Bruce Gordon_70
CELG,Jacqualyn Fouse_55
CELG,Carrie Cox_58
CELG,Michael Friedman_72
CNC,Keith Williamson_63
CNC,Pamela Joseph_57
CNC,Tommy Thompson_74
CNP,Milton Carroll_65
CNP,Scott McLean_59
CTL,Michael Roberts_65
CERN,Denis Cortese_72
CERN,William Zollars_68
SCHW,John Adams_60
SCHW,Frank Herringer_73
SCHW,Arun Sarin_61
SCHW,Paula Sneed_68
CHTR,Craig Jacobson_63
CHTR,Gregory Maffei_55
CHTR,John Malone_75
CHK,R. Brad Martin_64
CHK,Merrill Miller_65
CVX,Ronald Sugar_67
CVX,Dambisa Moyo_47
CVX,Inge Thulin_62
CVX,Linnet Deily_70
