Source,Target
CA,Michael Gregoire_50,1
CA,Laura Unger_,1
COG,Dorothy Ables_58,1
CPB,Les Vinney_67,1
CPB,Denise Morrison_62,1
CPB,Marc Lautenbach_55,1
CPB,Tracey Travis_54,1
COF,Stephen Crawford_51,1
COF,Ann Hackett_62,1
COF,Patrick Gross_71,1
COF,Lewis Hay_60,1
COF,Mayo Shattuck_61,1
CAH,David Anderson_66,1
CAH,Colleen Arnold_58,1
CAH,Carrie Cox_58,1
CAH,Calvin Darden_66,1
CAH,Clayton Jones_66,1
CAH,David King_59,1
HSIC,Philip Laskawy_74,1
HSIC,Lawrence Bacow_64,1
HSIC,Bradley Sheares_59,1
KMX,Thomas Folliard_51,1
KMX,Alan Colberg_54,1
KMX,Jeffrey Garten_69,1
KMX,Shira Goodman_55,1
CCL,Arnold Donald_61,1
CCL,Alan Buckelew_67,1
CCL,Debra Kelly-Ennis_59,1
CCL,Randall Weisenburger_57,1
CAT,Bradley Halverson_56,1
CAT,Denise Johnson_49,1
CAT,David Bozeman_47,1
CAT,David Calhoun_58,1
CAT,Jon Huntsman_56,1
CAT,Dennis Muilenburg_52,1
CAT,William Osborn_68,1
CAT,Debra Reed_59,1
CAT,Edward Rust_65,1
CAT,Susan Schwab_61,1
CAT,Miles White_61,1
CBG,Robert Sulentic_59,1
CBG,Paula Reynolds_59,1
CBG,Laura Tyson_68,1
CBS,Shari Redstone_62,1
CBS,Sumner Redstone_92,1
CBS,Charles Gifford_73,1
CBS,Bruce Gordon_70,1
CELG,Jacqualyn Fouse_55,1
CELG,Carrie Cox_58,1
CELG,Michael Friedman_72,1
CNC,Keith Williamson_63,1
CNC,Pamela Joseph_57,1
CNC,Tommy Thompson_74,1
CNP,Milton Carroll_65,1
CNP,Scott McLean_59,1
CTL,Michael Roberts_65,1
CERN,Denis Cortese_72,1
CERN,William Zollars_68,1
SCHW,John Adams_60,1
SCHW,Frank Herringer_73,1
SCHW,Arun Sarin_61,1
SCHW,Paula Sneed_68,1
CHTR,Craig Jacobson_63,1
CHTR,Gregory Maffei_55,1
CHTR,John Malone_75,1
CHK,R. Brad Martin_64,1
CHK,Merrill Miller_65,1
CVX,Ronald Sugar_67,1
CVX,Dambisa Moyo_47,1
CVX,Inge Thulin_62,1
CVX,Linnet Deily_70,1
CVX,Enrique Hernandez_60,1
CVX,Charles Moorman_64,1
CI,David Cordani_50,1
CI,Lisa Bacus_51,1
CI,Michelle Gass_48,1
CI,Jane Henney_68,1
CI,John Partridge_66,1
CI,Eric Wiseman_60,1
CI,William Zollars_68,1
XEC,Hans Helmerich_57,1
CINF,Linda Clement-Holmes_53,1
CINF,William McMullen_55,1
CTAS,James Holloman_60,1
CTAS,Joseph Scaminace_62,1
CTAS,Ronald Tysoe_63,1
CSCO,Rebecca Jacoby_54,1
CSCO,M. Michele Burns_58,1
CSCO,John Hennessy_63,1
CSCO,Kristina Johnson_58,1
CSCO,Roderick McGeary_65,1
CSCO,Arun Sarin_61,1
CSCO,Steven West_60,1
C,Barbara Desoer_63,1
C,Eugene McQuade_67,1
C,Renee James_52,1
C,Gary Reiner_61,1
C,Judith Rodin_71,1
C,Joan Spero_71,1
C,James Turley_60,1
C,Ernesto Zedillo Ponce de Leon_64,1
CFG,Arthur Ryan_73,1
CFG,Charles Koch_69,1
CTXS,Robert Calderoni_56,1
CTXS,Nanci Caldwell_58,1
CTXS,Robert Daleo_66,1
CLX,Laura Stein_54,1
CLX,Amy Banse_57,1
CLX,Allan Mackay_60,1
CLX,Esther Lee_57,1
